Elapsed_seconds	Rx-Mbps_[with_hdr]
412.50	6144.72
413.00	6143.68
413.50	6143.57
414.00	6144.05
414.50	6144.12
415.00	6145.12
415.50	6144.36
416.00	6143.68
416.50	6144.36
417.00	6143.11
417.50	6144.61
418.00	6144.45
418.50	6145.19
419.00	6143.66
419.50	6144.52
420.00	6144.56
420.50	6143.84
421.00	6138.67
421.50	6124.95
422.00	311.20
422.50	0.00
423.00	0.00
423.50	0.00
424.00	0.00
424.50	0.00
425.00	0.00
425.50	0.00
426.00	0.00
426.50	0.00
427.00	0.00
427.50	0.00
428.00	0.00
428.50	0.00
429.00	0.00
429.50	0.00
430.00	0.00
430.50	0.00
431.00	0.00
431.50	0.00
432.00	0.00
432.50	0.00
